0.352,0.499,0.085
0.372,0.463,0.101
0.390,0.428,0.119
0.405,0.393,0.138
0.417,0.360,0.160
0.426,0.327,0.183
0.432,0.296,0.208
0.435,0.266,0.235
0.435,0.237,0.263
0.431,0.211,0.293
0.425,0.186,0.324
0.415,0.163,0.357
0.402,0.141,0.391
0.387,0.122,0.425
0.369,0.104,0.461
0.349,0.088,0.497
0.327,0.074,0.533
0.304,0.062,0.569
0.279,0.051,0.604
0.253,0.041,0.639
0.227,0.033,0.674
0.200,0.027,0.707
0.174,0.021,0.738
0.148,0.016,0.768
0.124,0.013,0.797
0.101,0.010,0.823
0.079,0.007,0.846
0.060,0.005,0.868
0.043,0.004,0.886
0.028,0.003,0.901
0.017,0.002,0.914
0.008,0.002,0.923
0.002,0.002,0.929
0.000,0.001,0.932
0.001,0.001,0.931
0.005,0.001,0.927
0.012,0.001,0.920
0.022,0.002,0.909
0.035,0.002,0.896
0.050,0.003,0.879
0.068,0.005,0.860
0.089,0.006,0.838
0.111,0.009,0.813
0.134,0.012,0.786
0.159,0.016,0.757
0.185,0.021,0.727
0.211,0.027,0.695
0.237,0.034,0.661
0.263,0.042,0.627
0.288,0.052,0.592
0.312,0.063,0.556
0.335,0.076,0.520
0.356,0.091,0.485
0.375,0.108,0.449
0.391,0.126,0.414
0.405,0.146,0.380
0.416,0.168,0.347
0.424,0.192,0.315
0.429,0.217,0.284
0.431,0.245,0.255
0.429,0.273,0.228
0.425,0.304,0.202
0.417,0.335,0.178
0.406,0.368,0.155
0.393,0.402,0.135
0.377,0.437,0.116
0.358,0.472,0.099
0.338,0.508,0.084
0.315,0.544,0.070
0.291,0.579,0.058
0.266,0.614,0.048
0.241,0.649,0.039
0.214,0.683,0.031
0.188,0.715,0.025
0.163,0.746,0.020
0.138,0.775,0.015
0.114,0.802,0.012
0.092,0.827,0.009
0.071,0.850,0.007
0.053,0.870,0.005
0.037,0.887,0.004
0.024,0.901,0.003
0.013,0.913,0.002
0.005,0.921,0.002
0.001,0.925,0.002
